k,eta,inertia,homo,compl,vmeas,ari,ami,silhouette
2,0.26283740997314453,12979425453.974365,0.14298168228020267,0.33614505251011045,0.20062577021128639,0.15295837322353867,0.2003932773578053,0.26501606304885966
3,0.4296133518218994,11082767921.440964,0.24539388416546437,0.3692679138883801,0.2948486077178001,0.22964784940361233,0.29449722794520944,0.22099463176947237
4,0.5259408950805664,9550154083.298128,0.34692057042549057,0.4048094274410674,0.37363606050054354,0.3156636418264837,0.3732162722303109,0.21835470011643573
5,0.4596288204193115,8941514861.569258,0.4193968870493597,0.43109073693753586,0.4251634192156163,0.34809257096959045,0.4246797053476489,0.21213019752298068
6,0.826514720916748,8413673420.588894,0.4450995501342849,0.4051165823116281,0.4241679301476103,0.3457302324705143,0.4235984019639621,0.1881402942401023
7,0.8589603900909424,7983530398.097616,0.49369736123641145,0.41286620366371224,0.44967824250674726,0.38410570885856976,0.44905376760443194,0.18517337052266103
8,1.1510529518127441,7561440100.966138,0.5187589637085276,0.4049310934030684,0.4548314291571032,0.3687642480089272,0.4541364879109485,0.1805878974955612
9,1.3931305408477783,7274210412.830013,0.5235086710839874,0.3884234263934211,0.4459609050533421,0.3521927453261324,0.445176412748936,0.17778650793634412
10,1.1843316555023193,7040465097.854542,0.5171670543359084,0.36395118646004443,0.427237921788044,0.2929271968049238,0.42635289769054635,0.1648490771440577
